Tanggal,Project ID,Project Name,Amount
2025-06-01,103,MNP x FIRE,Rp 13.466.769.990
2025-06-01,270,MNP x FIRE2,Rp 0
2025-06-02,103,MNP x FIRE,Rp 15.328.424.068
2025-06-02,270,MNP x FIRE2,Rp 0
2025-06-03,103,MNP x FIRE,Rp 13.920.993.974
2025-06-03,270,MNP x FIRE2,Rp 0
2025-06-04,103,MNP x FIRE,Rp 8.849.636.741
2025-06-04,270,MNP x FIRE2,Rp 0
2025-06-05,103,MNP x FIRE,Rp 8.301.610.456
2025-06-05,270,MNP x FIRE2,Rp 786.254.920
2025-06-06,103,MNP x FIRE,Rp 10.273.309.670
2025-06-06,270,MNP x FIRE2,Rp 0
2025-06-07,103,MNP x FIRE,Rp 10.184.846.604
2025-06-07,270,MNP x FIRE2,Rp 2.173.398.801
2025-06-08,103,MNP x FIRE,Rp 10.451.744.587
2025-06-08,270,MNP x FIRE2,Rp 2.231.101.349
2025-06-09,103,MNP x FIRE,Rp 7.049.566.467
2025-06-09,270,MNP x FIRE2,Rp 0
2025-06-10,103,MNP x FIRE,Rp 7.565.779.383
2025-06-10,270,MNP x FIRE2,Rp 0
2025-06-11,103,MNP x FIRE,Rp 6.473.966.556
2025-06-11,270,MNP x FIRE2,Rp 0
2025-06-12,103,MNP x FIRE,Rp 4.657.229.419
2025-06-12,270,MNP x FIRE2,Rp 0
2025-06-13,103,MNP x FIRE,Rp 2.382.220.840
2025-06-13,270,MNP x FIRE2,Rp 1.128.355.408
2025-06-14,103,MNP x FIRE,Rp 2.218.484.028
2025-06-14,270,MNP x FIRE2,Rp 526.473.134
2025-06-15,103,MNP x FIRE,Rp 4.464.154.542
2025-06-15,270,MNP x FIRE2,Rp 0
2025-06-16,103,MNP x FIRE,Rp 4.661.547.525
2025-06-16,270,MNP x FIRE2,Rp 0
2025-06-17,103,MNP x FIRE,Rp 4.827.099.439
2025-06-17,270,MNP x FIRE2,Rp 0
2025-06-18,103,MNP x FIRE,Rp 4.278.072.679
2025-06-18,270,MNP x FIRE2,Rp 0
2025-06-19,103,MNP x FIRE,Rp 3.238.338.897
2025-06-19,270,MNP x FIRE2,Rp 0
2025-06-20,103,MNP x FIRE,Rp 2.166.873.460
2025-06-20,270,MNP x FIRE2,Rp 708.314.865
2025-06-21,103,MNP x FIRE,Rp 2.073.797.667
2025-06-21,270,MNP x FIRE2,Rp 410.521.305
2025-06-22,103,MNP x FIRE,Rp 1.865.985.453
2025-06-22,270,MNP x FIRE2,Rp 0
2025-06-23,103,MNP x FIRE,Rp 1.057.745.039
2025-06-23,270,MNP x FIRE2,Rp 0
2025-06-24,103,MNP x FIRE,Rp 216.937.083
2025-06-24,270,MNP x FIRE2,Rp 0
2025-06-25,103,MNP x FIRE,Rp 226.585.169
2025-06-25,270,MNP x FIRE2,Rp 0
2025-06-26,103,MNP x FIRE,Rp 247.720.445
2025-06-26,270,MNP x FIRE2,Rp 0
2025-06-27,103,MNP x FIRE,Rp 319.830.372
2025-06-27,270,MNP x FIRE2,Rp 0
2025-06-28,103,MNP x FIRE,Rp 220.184.122
2025-06-28,270,MNP x FIRE2,Rp 0
2025-06-29,103,MNP x FIRE,Rp 165.016.320
2025-06-29,270,MNP x FIRE2,Rp 0
2025-06-30,103,MNP x FIRE,Rp 150.378.789
2025-06-30,270,MNP x FIRE2,Rp 0
2025-07-01,103,MNP x FIRE,Rp 168.822.069
2025-07-01,270,MNP x FIRE2,Rp 0
2025-07-02,103,MNP x FIRE,Rp 0
2025-07-02,270,MNP x FIRE2,Rp 0
2025-07-03,103,MNP x FIRE,Rp 50.000
2025-07-03,270,MNP x FIRE2,Rp 0
2025-07-04,103,MNP x FIRE,Rp 0
2025-07-04,270,MNP x FIRE2,Rp 0
2025-07-05,103,MNP x FIRE,Rp 0
2025-07-05,270,MNP x FIRE2,Rp 0
2025-07-06,103,MNP x FIRE,Rp 0
2025-07-06,270,MNP x FIRE2,Rp 0
2025-07-07,103,MNP x FIRE,Rp 0
2025-07-07,270,MNP x FIRE2,Rp 0
2025-07-08,103,MNP x FIRE,Rp 0
2025-07-08,270,MNP x FIRE2,Rp 0
2025-07-09,103,MNP x FIRE,Rp 0
2025-07-09,270,MNP x FIRE2,Rp 0
2025-07-10,103,MNP x FIRE,Rp 0
2025-07-10,270,MNP x FIRE2,Rp 0
2025-07-11,103,MNP x FIRE,Rp 0
